title,brand,category,actual_price,discount_price,rating,rating_count
Gaming Laptop,Dell,Smartphone,51748,47332,3.3,4429
Gaming Laptop,Boat,Monitor,1201,840.7,2.4,4606
4K Action Camera,Boat,Headphones,3181,2226.7,2.5,4478
Smart Fitness Watch,Boat,Speaker,30163,29900,2.6,16076
Laptop with SSD Storage,Dell,Headphones,5922,2635,3.9,18280
Wireless Bluetooth Headphones,OnePlus,Speaker,1678,1174.6,2.8,7366
4K Action Camera,LG,Camera,71486,71378,4.4,4427
Smart Fitness Watch,Sony,Smartphone,45501,42521,4.8,13476
Gaming Laptop,Dell,Speaker,59551,54563,2.3,5361
Gaming Laptop,JBL,Camera,72872,69851,3.2,641
Portable Bluetooth Speaker,LG,Tablet,39555,37978,1.4,10085
4K Action Camera,JBL,Smartwatch,63512,63340,1.8,19659
Laptop with SSD Storage,LG,Camera,50510,46741,2.7,4050
Noise Cancelling Earbuds,OnePlus,Laptop,22799,21313,1.8,4553
Laptop with SSD Storage,Mi,Speaker,51928,50716,4.5,18688
Gaming Laptop,JBL,Camera,61660,58310,1.6,3343
Gaming Laptop,Dell,Headphones,4903,1508,2.8,2056
Smartphone with AMOLED Display,LG,Smartwatch,12932,10396,3.4,19192
Gaming Laptop,Boat,Monitor,30907,30296,3.8,9416
Wireless Bluetooth Headphones,HP,Speaker,66056,62025,2.5,7226
High Resolution Monitor,Boat,Laptop,47294,45507,4.5,886
4K Action Camera,Samsung,Monitor,63682,62728,3.3,8584
Laptop with SSD Storage,Mi,Camera,70654,67050,2.8,18830
High Resolution Monitor,Mi,Monitor,56644,52104,1.3,11530
Smart Fitness Watch,Boat,Monitor,54075,52299,2.9,3591
Noise Cancelling Earbuds,Sony,Smartwatch,7649,4676,,18565
Wireless Bluetooth Headphones,OnePlus,Tablet,71454,67873,3.5,16738
Laptop with SSD Storage,JBL,Monitor,27764,23808,4.3,2631
High Resolution Monitor,Dell,Monitor,42924,41940,3,17905
Noise Cancelling Earbuds,Mi,Speaker,37644,37520,1.5,19056
Smartphone with AMOLED Display,Boat,Tablet,24599,24255,1.1,11370
Wireless Bluetooth Headphones,Boat,Smartwatch,48275,48205,2.2,18721
Wireless Bluetooth Headphones,OnePlus,Laptop,1762,1233.4,3.8,17012
Smartphone with AMOLED Display,OnePlus,Camera,40881,39793,4.2,2679
4K Action Camera,Apple,Smartwatch,71589,66884,2.2,4422
Smartphone with AMOLED Display,Apple,Smartwatch,14475,13316,3,7463
Wireless Bluetooth Headphones,Sony,Smartphone,6491,2670,2.7,9613
Wireless Bluetooth Headphones,Sony,Smartwatch,66837,66416,2.6,17510
High Resolution Monitor,Samsung,Tablet,47945,42982,1.9,1780
Gaming Laptop,Sony,Smartphone,23583,22359,1.5,9424
Noise Cancelling Earbuds,LG,Camera,59423,58209,1.8,6571
Smartphone with AMOLED Display,OnePlus,Monitor,30324,29182,1.2,825
Noise Cancelling Earbuds,Dell,Speaker,49930,48597,1.8,11155
Smartphone with AMOLED Display,LG,Speaker,31034,28973,1,2395
Smart Fitness Watch,JBL,Camera,815,570.5,3.5,4145
Wireless Bluetooth Headphones,Boat,Camera,67027,64986,2.3,15779
Gaming Laptop,Sony,Tablet,46516,45946,4.9,5492
High Resolution Monitor,Boat,Headphones,72133,67617,1.8,7111
Gaming Laptop,Mi,Monitor,59055,54809,2.4,13087
Gaming Laptop,Samsung,Camera,28156,23350,2.4,9984
Gaming Laptop,Mi,Smartwatch,74170,73878,1,6792
Noise Cancelling Earbuds,Samsung,Tablet,24462,21612,4.4,19935
Smartphone with AMOLED Display,Apple,Speaker,6308,1651,1.1,7711
Android Tablet,Boat,Laptop,8287,5341,4.8,1565
Smart Fitness Watch,Samsung,Tablet,62832,60180,4.6,3667
Laptop with SSD Storage,HP,Speaker,3632,1309,3.1,6459
Gaming Laptop,LG,Smartphone,66623,65032,3.2,4096
4K Action Camera,Samsung,Tablet,39290,36475,3.6,1019
Noise Cancelling Earbuds,Samsung,Speaker,10173,8009,2.5,9476
High Resolution Monitor,LG,Headphones,36744,32203,3.6,8254
Laptop with SSD Storage,Boat,Tablet,35640,30883,1.2,11584
Android Tablet,Boat,Tablet,5333,2200,1.2,5965
4K Action Camera,LG,Monitor,73624,71717,2.8,11464
Android Tablet,Mi,Camera,15989,15170,3.2,18653
Laptop with SSD Storage,HP,Monitor,366,256.2,4.6,12439
Gaming Laptop,Dell,Tablet,45546,45090,1.4,4721
4K Action Camera,JBL,Camera,7833,4811,4.3,8408
Android Tablet,HP,Speaker,70452,68530,1.8,195
High Resolution Monitor,Boat,Laptop,59958,57214,2.6,3273
Smartphone with AMOLED Display,Dell,Laptop,38798,36479,2.3,15330
Wireless Bluetooth Headphones,Apple,Tablet,12072,7273,2.6,10886
Smartphone with AMOLED Display,Sony,Headphones,49336,48105,1.6,3212
Laptop with SSD Storage,Samsung,Smartphone,58831,57342,3,2755
Noise Cancelling Earbuds,LG,Speaker,13240,10137,4.2,17905
Wireless Bluetooth Headphones,LG,Camera,17232,13849,2.8,1080
Smart Fitness Watch,Samsung,Tablet,57127,54180,3,15501
High Resolution Monitor,Sony,Speaker,61731,58778,4.4,17105
Smart Fitness Watch,JBL,Tablet,24948,24670,3.8,14047
4K Action Camera,Sony,Headphones,33266,29257,3,17946
Wireless Bluetooth Headphones,Dell,Smartwatch,28077,26134,2,639
Smart Fitness Watch,Sony,Smartwatch,32867,31504,4.5,12502
Smart Fitness Watch,Dell,Headphones,17474,16354,3.3,5190
Android Tablet,Sony,Camera,42898,41874,1.9,3736
Smartphone with AMOLED Display,JBL,Monitor,59499,57711,2.1,16473
Android Tablet,JBL,Headphones,14098,10763,4.2,1251
Wireless Bluetooth Headphones,Boat,Tablet,65664,64857,1.2,9294
Wireless Bluetooth Headphones,Samsung,Camera,17858,14713,5,16732
Laptop with SSD Storage,JBL,Laptop,61384,61014,1.5,4052
Android Tablet,Dell,Headphones,44537,42166,4.2,19325
Portable Bluetooth Speaker,JBL,Camera,65797,65192,2.6,271
Smartphone with AMOLED Display,Boat,Headphones,478,334.6,3,18414
Wireless Bluetooth Headphones,LG,Headphones,17418,15982,4.5,11698
Laptop with SSD Storage,Dell,Monitor,22916,18103,2.7,15889
Android Tablet,Boat,Monitor,1098,768.6,3.1,9657
Smartphone with AMOLED Display,Mi,Tablet,7901,5424,1.2,9387
Android Tablet,Mi,Camera,25663,23609,1,16376
Smart Fitness Watch,Apple,Camera,3095,1115,2,11279
Laptop with SSD Storage,Sony,Smartphone,45564,40673,3.7,12015
Smartphone with AMOLED Display,Samsung,Headphones,73133,68313,1.5,7041
Gaming Laptop,OnePlus,Smartwatch,3384,1171,1.5,17510
4K Action Camera,HP,Headphones,76946,73029,2.6,8708
4K Action Camera,Boat,Headphones,1031,721.7,3.6,10857
Smartphone with AMOLED Display,LG,Camera,1429,1000.3,3.8,9493
Android Tablet,HP,Headphones,28322,25759,1.7,8052
Laptop with SSD Storage,LG,Speaker,,1333.5,1.3,16995
4K Action Camera,HP,Headphones,77806,75429,4.8,17133
Laptop with SSD Storage,Boat,Speaker,44430,43763,2,13580
4K Action Camera,OnePlus,Monitor,29565,27350,4.4,18240
Smart Fitness Watch,HP,Smartwatch,32630,29272,4.5,17910
Android Tablet,Boat,Tablet,68769,67727,4.1,10216
Smart Fitness Watch,JBL,Camera,15487,14060,1.7,6229
4K Action Camera,OnePlus,Headphones,26091,21660,4.3,13343
Gaming Laptop,Dell,Speaker,70910,67686,4.1,2098
Gaming Laptop,LG,Speaker,40167,35335,3.4,15438
Smart Fitness Watch,Mi,Monitor,1193,835.1,2.3,7865
Gaming Laptop,Sony,Speaker,20073,15190,2.1,16557
4K Action Camera,Mi,Tablet,4539,1411,1.5,12211
Smartphone with AMOLED Display,OnePlus,Laptop,21163,18427,3,500
Smart Fitness Watch,Dell,Smartphone,51715,48682,3.3,3646
Noise Cancelling Earbuds,LG,Tablet,69268,66695,2.4,18747
Android Tablet,Dell,Smartwatch,60730,57098,2.9,10048
Gaming Laptop,HP,Tablet,1815,280,2.5,11344
Gaming Laptop,LG,Monitor,14905,12755,3.6,18280
Wireless Bluetooth Headphones,HP,Monitor,56540,51909,4.6,9910
Portable Bluetooth Speaker,Boat,Tablet,5886,2121,1.7,1778
Smart Fitness Watch,OnePlus,Headphones,31486,29435,2.5,12984
High Resolution Monitor,Boat,Laptop,27228,25791,1.6,19441
Gaming Laptop,Apple,Headphones,21011,17778,3.5,5190
Android Tablet,Dell,Headphones,55262,54182,3.9,15304
Noise Cancelling Earbuds,HP,Tablet,20339,18524,4.7,6997
Gaming Laptop,JBL,Camera,36861,32048,2.1,12020
Noise Cancelling Earbuds,Boat,Camera,75783,74513,4.8,4747
4K Action Camera,Apple,Camera,1877,1313.9,1.3,9286
4K Action Camera,Samsung,Laptop,28650,24794,3.4,45
Portable Bluetooth Speaker,Mi,Headphones,34098,31634,1.2,7758
Smartphone with AMOLED Display,LG,Smartphone,11085,6690,4.6,19585
High Resolution Monitor,Apple,Smartwatch,72527,70859,3.1,455
Wireless Bluetooth Headphones,OnePlus,Camera,62257,60944,3.7,9854
Portable Bluetooth Speaker,Boat,Camera,65731,64810,4.3,19308
Laptop with SSD Storage,OnePlus,Monitor,17597,16713,1.6,17349
Wireless Bluetooth Headphones,Mi,Headphones,72194,69322,1.2,1528
Smart Fitness Watch,JBL,Headphones,64072,63104,4.5,2976
Android Tablet,Dell,Laptop,19881,18107,2.3,19455
Laptop with SSD Storage,Dell,Laptop,55492,53029,1.5,13288
Laptop with SSD Storage,OnePlus,Camera,1762,399,2.9,6387
Portable Bluetooth Speaker,HP,Headphones,64473,59925,3.4,2521
Smartphone with AMOLED Display,JBL,Smartphone,15811,13656,1.1,6525
Portable Bluetooth Speaker,Dell,Smartwatch,76406,73788,2.1,1126
Smart Fitness Watch,JBL,Tablet,48965,47777,1.1,13348
Gaming Laptop,Apple,Headphones,44714,44455,2.7,7716
Gaming Laptop,JBL,Monitor,72873,71759,4.6,16102
Smartphone with AMOLED Display,Sony,Tablet,13686,8725,4.9,3404
Smart Fitness Watch,Mi,Headphones,54760,52490,3.5,4492
Smartphone with AMOLED Display,Dell,Speaker,6521,6238,1.6,2343
Noise Cancelling Earbuds,JBL,Laptop,23774,22932,4.6,106
Gaming Laptop,OnePlus,Monitor,21345,18185,3.1,15195
Laptop with SSD Storage,Samsung,Smartwatch,5222,3006,1.6,13241
High Resolution Monitor,Sony,Camera,23006,22622,4.7,19538
Android Tablet,Sony,Monitor,43071,41662,4,12575
Smart Fitness Watch,HP,Headphones,52635,51371,3.9,4801
Wireless Bluetooth Headphones,JBL,Camera,53249,48780,3.8,5580
Smartphone with AMOLED Display,HP,Headphones,71014,70681,1.8,16598
Android Tablet,HP,Camera,15540,15278,1.8,5400
Wireless Bluetooth Headphones,Samsung,Smartwatch,3016,1308,3.8,6875
Android Tablet,Apple,Laptop,16874,12746,1.9,8656
High Resolution Monitor,JBL,Smartwatch,74017,69120,2.8,6247
Wireless Bluetooth Headphones,Boat,Speaker,44366,42899,4.1,6177
Portable Bluetooth Speaker,Dell,Smartphone,62126,59690,4.1,7269
4K Action Camera,HP,Laptop,20513,18669,2.8,14974
Portable Bluetooth Speaker,Mi,Smartwatch,72216,72062,4.2,14037
Gaming Laptop,LG,Speaker,66451,61536,4.4,18756
4K Action Camera,Mi,Smartphone,51206,47263,3.6,16167
Portable Bluetooth Speaker,Samsung,Speaker,763,534.1,1.9,10380
4K Action Camera,Samsung,Headphones,32273,28533,2.1,6617
4K Action Camera,OnePlus,Tablet,74994,71652,2.3,303
Laptop with SSD Storage,Apple,Headphones,20951,20523,1.5,12683
Smartphone with AMOLED Display,Dell,Camera,68994,65651,2.1,16717
Smartphone with AMOLED Display,HP,Laptop,20308,16929,1.8,11025
Laptop with SSD Storage,Mi,Headphones,70774,65916,2.8,18715
Android Tablet,LG,Monitor,38485,34997,4.6,4561
Noise Cancelling Earbuds,Samsung,Speaker,74717,74443,1.4,79
Android Tablet,Samsung,Laptop,71439,70652,3.9,3763
Wireless Bluetooth Headphones,Apple,Tablet,35280,34995,3.7,10169
Wireless Bluetooth Headphones,LG,Monitor,22804,18476,1.4,17116
4K Action Camera,LG,Headphones,55270,54509,4.7,3976
Portable Bluetooth Speaker,Apple,Camera,17066,15128,3.3,17768
Portable Bluetooth Speaker,Samsung,Smartwatch,11995,7227,2.5,2124
Smartphone with AMOLED Display,Dell,Camera,18096,16787,4,6652
Smart Fitness Watch,JBL,Monitor,42843,42045,2,5283
Android Tablet,JBL,Smartphone,14859,10823,3.8,7176
Gaming Laptop,Apple,Headphones,33439,29838,1.2,18676
High Resolution Monitor,LG,Monitor,9102,8543,4.4,12409
Portable Bluetooth Speaker,HP,Smartphone,74143,72270,2.8,12319
High Resolution Monitor,Apple,Smartphone,40505,35575,3.5,997
4K Action Camera,Dell,Speaker,34459,31468,1.9,11001
High Resolution Monitor,Apple,Laptop,11816,7534,3.7,4664
Gaming Laptop,Sony,Speaker,50792,48608,4.1,18741
Laptop with SSD Storage,Mi,Headphones,29386,27559,2.9,18063
Gaming Laptop,LG,Smartphone,30780,29508,3.5,13117
High Resolution Monitor,OnePlus,Tablet,52391,48674,2.8,11231
Gaming Laptop,OnePlus,Monitor,48066,46239,4.6,7440
Noise Cancelling Earbuds,LG,Smartwatch,39037,37683,3,19911
4K Action Camera,Dell,Smartphone,9565,4656,4.4,11218
Android Tablet,Sony,Monitor,,70539,4.2,15608
Laptop with SSD Storage,Sony,Tablet,15686,12647,2.6,19129
Portable Bluetooth Speaker,Samsung,Smartwatch,37725,37524,1.9,4090
Wireless Bluetooth Headphones,Mi,Speaker,43554,42179,2.6,7471
Android Tablet,JBL,Speaker,53934,52583,4.3,3743
Wireless Bluetooth Headphones,Boat,Laptop,47962,44190,1.9,10196
4K Action Camera,Dell,Monitor,75752,73991,3.1,7008
Laptop with SSD Storage,Boat,Smartphone,10443,9587,4.2,3324
Smartphone with AMOLED Display,Boat,Camera,15881,11501,2.4,8632
Portable Bluetooth Speaker,LG,Speaker,67743,64971,3.6,19641
Noise Cancelling Earbuds,OnePlus,Speaker,29724,25018,2,226
Smartphone with AMOLED Display,OnePlus,Laptop,42284,40909,1.4,14863
4K Action Camera,JBL,Smartwatch,41805,37622,4.2,16027
Android Tablet,LG,Laptop,62999,61790,1.4,18785
Noise Cancelling Earbuds,Boat,Tablet,27257,24338,2.1,4718
Gaming Laptop,HP,Smartphone,25764,21198,4.4,17408
High Resolution Monitor,OnePlus,Monitor,23949,22657,2.4,5672
Noise Cancelling Earbuds,Dell,Headphones,42365,41968,4.9,15262
4K Action Camera,Dell,Headphones,35058,33177,4.9,17254
Smart Fitness Watch,Samsung,Monitor,5896,4277,2.1,3199
High Resolution Monitor,Apple,Smartwatch,16674,12689,1.2,18129
Wireless Bluetooth Headphones,HP,Tablet,4075,2107,3.8,5270
Portable Bluetooth Speaker,OnePlus,Speaker,27688,24406,2.8,12750
Wireless Bluetooth Headphones,Sony,Smartwatch,21329,17521,1.4,7897
Noise Cancelling Earbuds,OnePlus,Speaker,53939,51534,3.8,8664
Wireless Bluetooth Headphones,Samsung,Speaker,14945,13498,1.1,14892
4K Action Camera,Dell,Headphones,31405,28575,4.5,8271
Gaming Laptop,Boat,Smartwatch,13968,12094,1.6,5158
Android Tablet,Sony,Tablet,16260,13719,1.5,12844
Portable Bluetooth Speaker,LG,Laptop,11657,7547,1.7,589
Wireless Bluetooth Headphones,Mi,Speaker,64904,64450,4.8,9552
Wireless Bluetooth Headphones,Boat,Camera,52096,50325,3.8,16267
Noise Cancelling Earbuds,Mi,Camera,16104,13229,4.2,18268
Android Tablet,HP,Laptop,14926,11031,2.6,16159
Smartphone with AMOLED Display,Apple,Camera,28432,24172,2.3,14263
Wireless Bluetooth Headphones,Sony,Smartphone,8251,5009,1.9,5399
4K Action Camera,JBL,Speaker,6749,6635,2.9,8503
Smart Fitness Watch,Sony,Laptop,19365,18016,3.2,1076
Portable Bluetooth Speaker,OnePlus,Smartwatch,9430,4460,3.5,7235
Wireless Bluetooth Headphones,Dell,Speaker,62587,61122,2,16417
4K Action Camera,OnePlus,Laptop,52002,48359,4.8,1841
4K Action Camera,OnePlus,Headphones,37293,36275,1.7,4481
Portable Bluetooth Speaker,HP,Tablet,32175,31757,4.9,1134
Smartphone with AMOLED Display,Boat,Smartwatch,6354,6072,1.1,13139
4K Action Camera,JBL,Tablet,48817,46525,2.9,7771
Smart Fitness Watch,JBL,Headphones,76668,73535,2.3,8567
4K Action Camera,OnePlus,Speaker,29970,29000,2.8,8915
4K Action Camera,Mi,Smartwatch,49412,48674,3.3,13898
4K Action Camera,HP,Tablet,28607,24285,2.7,1913
Gaming Laptop,OnePlus,Camera,67387,65868,2.7,4297
Gaming Laptop,Apple,Tablet,48222,43447,3.9,1942
Smartphone with AMOLED Display,Dell,Laptop,63380,59071,3.7,17715
Wireless Bluetooth Headphones,Boat,Speaker,79635,75963,4.3,337
4K Action Camera,LG,Smartphone,26612,24462,2,14256
Android Tablet,Apple,Tablet,67285,64970,3.4,10057
Wireless Bluetooth Headphones,Mi,Smartwatch,57908,54069,3.3,8983
Smartphone with AMOLED Display,Sony,Smartwatch,40577,39704,2.5,19995
Laptop with SSD Storage,Sony,Monitor,31851,28370,2.9,16283
Wireless Bluetooth Headphones,Apple,Tablet,56897,52696,2.3,3700
Wireless Bluetooth Headphones,OnePlus,Speaker,45512,41249,1.6,12145
High Resolution Monitor,LG,Speaker,9937,9090,1.9,6118
Noise Cancelling Earbuds,Samsung,Headphones,43558,42729,1.4,2673
High Resolution Monitor,Samsung,Monitor,35993,33093,3.7,2122
Smart Fitness Watch,Mi,Tablet,10124,7182,3.6,11977
Gaming Laptop,OnePlus,Camera,27250,25307,4.8,8250
Gaming Laptop,JBL,Headphones,23788,20432,3.9,18446
Noise Cancelling Earbuds,JBL,Monitor,515,360.5,1.2,17638
Portable Bluetooth Speaker,Boat,Tablet,11823,6970,4.5,3688
Portable Bluetooth Speaker,LG,Tablet,76200,72432,4.5,3748
Smartphone with AMOLED Display,LG,Headphones,68989,68918,2.8,6342
Noise Cancelling Earbuds,Sony,Camera,24134,22584,3.3,16275
Wireless Bluetooth Headphones,HP,Monitor,34774,33882,4.9,13665
Portable Bluetooth Speaker,Mi,Tablet,43366,41556,3.1,4130
4K Action Camera,Samsung,Tablet,10700,7009,4.6,3029
Android Tablet,Mi,Monitor,10645,10404,1.3,19230
Wireless Bluetooth Headphones,JBL,Smartphone,34196,33751,1.8,13182
Smart Fitness Watch,JBL,Headphones,29199,24487,2.8,4035
4K Action Camera,Apple,Headphones,28529,24153,3.3,15127
4K Action Camera,Boat,Smartwatch,5883,4960,4.3,2899
Noise Cancelling Earbuds,LG,Camera,5197,2526,5,9638
Smartphone with AMOLED Display,Dell,Laptop,71837,67452,2.6,13222
Smart Fitness Watch,Mi,Smartphone,4867,4728,1.2,17296
Portable Bluetooth Speaker,JBL,Monitor,75107,72778,4.2,4242
Noise Cancelling Earbuds,HP,Monitor,77539,77033,3.4,18095
Portable Bluetooth Speaker,Sony,Monitor,13629,11299,1.8,1439
Noise Cancelling Earbuds,Samsung,Smartphone,72092,67593,3,5613
Noise Cancelling Earbuds,Boat,Tablet,528,369.6,4,5375
Noise Cancelling Earbuds,HP,Monitor,37352,32768,4.1,8877
Smartphone with AMOLED Display,Boat,Monitor,58069,57675,3,2466
Noise Cancelling Earbuds,Apple,Camera,46332,43571,2.2,7824
Laptop with SSD Storage,Dell,Speaker,33986,29184,4.9,12329
Android Tablet,JBL,Speaker,77281,74769,3.7,11630
Portable Bluetooth Speaker,Sony,Smartwatch,63561,62395,2.6,17349
Wireless Bluetooth Headphones,HP,Smartwatch,3109,2434,2.1,14203
High Resolution Monitor,Boat,Monitor,42085,37656,3.9,6928
Smart Fitness Watch,LG,Camera,36847,34818,2,
Gaming Laptop,Apple,Monitor,43118,39074,1.7,8120
Smartphone with AMOLED Display,LG,Smartwatch,72227,70499,3.1,11064
Wireless Bluetooth Headphones,Sony,Smartphone,65981,65709,2.2,17892
4K Action Camera,HP,Smartphone,79765,78972,3.5,9404
Laptop with SSD Storage,Apple,Tablet,37633,37121,1.5,871
Gaming Laptop,HP,Laptop,16876,15258,3.6,12582
High Resolution Monitor,JBL,Speaker,39705,36308,2.1,863
Wireless Bluetooth Headphones,OnePlus,Camera,74079,72293,1,14883
Gaming Laptop,Apple,Headphones,31901,27812,1.5,12145
Wireless Bluetooth Headphones,LG,Speaker,68246,64245,4.7,3055
Laptop with SSD Storage,Sony,Headphones,67656,66942,4.5,12186
High Resolution Monitor,Dell,Laptop,52416,51010,1.9,2682
4K Action Camera,JBL,Laptop,63194,62130,4.1,12882
Noise Cancelling Earbuds,OnePlus,Monitor,34935,32753,3.4,5278
Portable Bluetooth Speaker,Dell,Smartwatch,7765,5047,4.9,13805
4K Action Camera,Samsung,Laptop,57054,55950,2.5,16997
Noise Cancelling Earbuds,JBL,Laptop,39171,37357,3.7,1872
Smartphone with AMOLED Display,Sony,Headphones,63174,58666,1.3,11346
Android Tablet,Boat,Smartwatch,78033,75114,2.6,7723
Smart Fitness Watch,Apple,Laptop,29811,28349,4.9,13871
Smart Fitness Watch,HP,Speaker,49121,48404,3.2,15946
Portable Bluetooth Speaker,Sony,Tablet,66076,62656,2.2,7189
High Resolution Monitor,Apple,Laptop,70467,69023,1.5,12752
Laptop with SSD Storage,Dell,Tablet,75435,75287,3.8,11565
High Resolution Monitor,HP,Smartwatch,44762,40642,3.6,6942
Laptop with SSD Storage,Mi,Monitor,61682,61211,2.5,14730
High Resolution Monitor,LG,Camera,32874,29174,4.8,11383
Android Tablet,Samsung,Smartwatch,42210,38003,1.1,244
Smartphone with AMOLED Display,JBL,Headphones,73831,72649,2.2,20
Smartphone with AMOLED Display,Sony,Camera,25486,23734,4.7,13917
Noise Cancelling Earbuds,Samsung,Speaker,23113,19443,2.3,13721
Gaming Laptop,Boat,Smartphone,79112,75872,2,5767
Smartphone with AMOLED Display,Apple,Tablet,78582,77935,3.1,10247
Smartphone with AMOLED Display,Apple,Tablet,18857,18416,4.3,3515
4K Action Camera,Sony,Tablet,28360,27235,1.4,1910
4K Action Camera,OnePlus,Smartwatch,59166,56466,4.8,10750
Noise Cancelling Earbuds,OnePlus,Tablet,72404,69970,4.2,8076
Gaming Laptop,Mi,Monitor,6380,5521,1.7,18006
Portable Bluetooth Speaker,LG,Tablet,14154,10795,3.8,15051
4K Action Camera,HP,Headphones,67995,64207,2.5,4314
Portable Bluetooth Speaker,Boat,Speaker,27325,26116,2.6,2453
Wireless Bluetooth Headphones,Samsung,Tablet,53282,51701,4.1,2015
4K Action Camera,OnePlus,Tablet,41381,38649,4.9,10236
Android Tablet,Mi,Camera,4668,4365,1.5,2800
Gaming Laptop,Mi,Speaker,27394,23796,2.7,9023
Noise Cancelling Earbuds,Sony,Tablet,46340,43105,2.9,11884
Wireless Bluetooth Headphones,Boat,Smartwatch,67066,65785,2.5,16352
Gaming Laptop,Dell,Laptop,24291,21818,2.5,12882
Android Tablet,HP,Monitor,1601,1120.7,1.2,10346
Gaming Laptop,LG,Smartwatch,28910,24599,3.7,14035
Android Tablet,JBL,Smartphone,34978,33355,2.7,16108
Android Tablet,Sony,Smartwatch,24766,21808,1.8,2853
Portable Bluetooth Speaker,HP,Camera,41175,36413,4.3,18620
High Resolution Monitor,JBL,Camera,26381,24706,4.2,4176
Wireless Bluetooth Headphones,JBL,Tablet,24654,20606,2.9,2155
Gaming Laptop,Boat,Smartwatch,18600,14667,2.2,6829
Laptop with SSD Storage,Boat,Camera,64684,61119,3.6,1886
Wireless Bluetooth Headphones,Samsung,Laptop,61192,57739,2.2,6471
High Resolution Monitor,Mi,Speaker,35825,31177,1.9,12589
Wireless Bluetooth Headphones,HP,Smartwatch,26832,22102,3.9,8391
Smartphone with AMOLED Display,Sony,Monitor,6764,4756,1.2,19324
Laptop with SSD Storage,Apple,Laptop,16862,12803,1.4,19874
High Resolution Monitor,Sony,Tablet,55814,53029,1,13350
Portable Bluetooth Speaker,Samsung,Speaker,74519,69978,1.6,7899
Gaming Laptop,LG,Monitor,32934,29710,1.3,306
Smart Fitness Watch,Mi,Tablet,360,252,5,3075
High Resolution Monitor,Apple,Monitor,9569,8545,2.2,18040
Noise Cancelling Earbuds,OnePlus,Tablet,63443,63170,1.6,7244
Gaming Laptop,LG,Monitor,23365,18702,2,6611
High Resolution Monitor,Boat,Speaker,3195,2910,4.7,19076
Smartphone with AMOLED Display,JBL,Laptop,12652,9104,3.1,14134
Smart Fitness Watch,OnePlus,Monitor,50037,45776,2.5,18148
Smartphone with AMOLED Display,Sony,Monitor,32316,29032,4.5,275
Smart Fitness Watch,Sony,Headphones,61604,61329,2.6,5271
Noise Cancelling Earbuds,Boat,Smartwatch,12262,9935,2.3,7331
Gaming Laptop,Samsung,Speaker,33602,29275,1.8,11553
Portable Bluetooth Speaker,HP,Tablet,4311,2920,2.5,11573
Smartphone with AMOLED Display,OnePlus,Speaker,20082,15996,2.3,19844
Smartphone with AMOLED Display,OnePlus,Camera,67991,67732,3.7,10072
Android Tablet,Dell,Tablet,40025,36248,2.2,16017
Smart Fitness Watch,LG,Speaker,9496,5518,3.3,18228
4K Action Camera,Mi,Laptop,43759,40906,1.3,16455
Gaming Laptop,LG,Tablet,79163,78004,1.8,7386
Smart Fitness Watch,HP,Tablet,33069,30993,2.6,6862
Android Tablet,Sony,Speaker,25000,24557,4.7,7340
Wireless Bluetooth Headphones,Sony,Tablet,76727,75834,2.5,9487
Smart Fitness Watch,Sony,Headphones,5569,3995,3.7,15061
Portable Bluetooth Speaker,Dell,Smartwatch,44180,43527,2,7635
Gaming Laptop,Sony,Tablet,8620,7989,1.5,14604
Android Tablet,HP,Smartwatch,49889,47900,1.2,17427
Wireless Bluetooth Headphones,Boat,Speaker,76576,76394,2.2,3042
Laptop with SSD Storage,Mi,Monitor,36197,33309,1.6,17198
Android Tablet,HP,Smartphone,58865,55430,1.7,10386
Laptop with SSD Storage,Mi,Smartphone,31230,27410,4,11692
Gaming Laptop,HP,Monitor,57533,55215,1.1,15225
Smartphone with AMOLED Display,Sony,Monitor,14680,13655,3.2,16693
Android Tablet,Boat,Monitor,77196,75333,2.5,6661
Noise Cancelling Earbuds,OnePlus,Laptop,71234,67921,3,10253
Laptop with SSD Storage,LG,Smartphone,56130,54537,3.3,18261
Portable Bluetooth Speaker,JBL,Monitor,5829,2944,2.3,18870
Noise Cancelling Earbuds,Boat,Laptop,49478,46690,2.2,
High Resolution Monitor,OnePlus,Camera,7237,5830,3.9,794
High Resolution Monitor,Samsung,Tablet,40186,36002,4.5,14598
Wireless Bluetooth Headphones,HP,Laptop,49999,48633,1.8,6786
Smartphone with AMOLED Display,Samsung,Smartphone,76696,76485,1.4,4014
Gaming Laptop,OnePlus,Speaker,25579,23620,4.6,7392
Android Tablet,Boat,Camera,38406,37229,2.4,12545
4K Action Camera,HP,Smartphone,40844,36924,3.2,5353
Portable Bluetooth Speaker,JBL,Tablet,9297,7589,2.4,3407
Laptop with SSD Storage,Sony,Laptop,41160,37985,1.5,17358
Gaming Laptop,HP,Headphones,3525,1512,3.4,16053
Noise Cancelling Earbuds,HP,Smartwatch,59770,57431,3.1,13189
High Resolution Monitor,Boat,Tablet,63956,62940,1.8,11213
Portable Bluetooth Speaker,Boat,Smartphone,52180,51241,2.8,7248
4K Action Camera,OnePlus,Monitor,61378,58267,4.2,4369
Android Tablet,Apple,Laptop,76590,72911,3.4,8050
Wireless Bluetooth Headphones,HP,Monitor,56933,53694,1.4,16848
4K Action Camera,LG,Monitor,26955,24157,3.2,5415
Portable Bluetooth Speaker,HP,Monitor,43901,42185,3.8,15398
